neuron,timestep
Brick-1.144,152
Brick-1.145,152
Brick-1.149,152
Brick-1.151,152
Brick-1.153,152
Brick-1.154,152
Brick-1.156,152
Brick-1.157,152
Brick-1.162,152
Brick-1.165,152
Brick-1.169,152
Brick-1.171,152
Brick-1.172,152
Brick-1.174,152
Brick-1.176,152
Brick-1.180,152
Brick-1.185,152
Brick-1.186,152
Brick-1.187,152
Brick-1.190,152
Brick-1.191,152
Brick-1.192,152
Brick-1.194,152
Brick-1.196,152
Brick-1.2,153
Brick-1.5,153
Brick-1.11,153
Brick-1.13,153
Brick-1.16,153
Brick-1.21,153
Brick-1.23,153
Brick-1.24,153
Brick-1.29,153
Brick-1.35,153
Brick-1.39,153
Brick-1.41,153
Brick-1.43,153
Brick-1.44,153
Brick-1.48,153
Brick-1.49,153
Brick-1.54,153
Brick-1.56,153
Brick-1.63,153
Brick-1.64,153
Brick-1.67,153
Brick-1.69,153
Brick-1.70,153
Brick-1.73,153
Brick-1.75,153
Brick-1.80,153
Brick-1.81,153
Brick-1.83,153
Brick-1.86,153
Brick-1.88,153
Brick-1.90,153
Brick-1.91,153
Brick-1.94,153
Brick-1.96,153
Brick-1.98,153
Brick-1.99,153
Brick-1.100,153
Brick-1.102,153
Brick-1.114,153
Brick-1.117,153
Brick-1.128,153
Brick-1.130,153
Brick-1.131,153
Brick-1.135,153
Brick-1.143,153
Brick-1.158,153
Brick-1.164,153
Brick-1.173,153
Brick-1.177,153
Brick-1.189,153
Brick-1.193,153
Brick-1.195,153
Brick-1.198,153
Brick-1.4,154
Brick-1.7,154
Brick-1.125,154
Brick-1.181,154
Brick-1.160,190
Brick-1.122,194
Brick-1.33,195
Brick-1.184,195
Brick-1.118,197
Brick-1.10,199
Brick-1.77,199
Brick-1.101,199
Brick-1.167,199
Brick-1.168,199
Brick-1.82,200
Brick-1.120,200
Brick-1.89,201
Brick-1.148,201
Brick-1.159,201
Brick-1.15,202
Brick-1.20,202
Brick-1.26,202
